shape,case,backend,runtime,xex_bytes,min_cycles,max_cycles,raw_copy_sites,opt_copy_sites,raw_copied_bytes,opt_copied_bytes,raw_capture_bytes,opt_capture_bytes,initial_mir_copy_sites,initial_mir_copied_bytes,mapped_routine_storage_bytes,mapped_routine_code_bytes
union,abi_arguments,classic,Standalone,1000,2172,2172,6,4,18,12,24,18,n/a,n/a,48,978
union,abi_arguments,mir-raw,Standalone,654,922,922,6,4,18,12,24,18,10,30,51,586
union,abi_arguments,mir-optimized,Standalone,614,878,878,6,4,18,12,24,18,8,24,45,552
union,abi_return,classic,ActionCart,523,1024,1024,3,2,9,6,12,9,n/a,n/a,21,501
union,abi_return,mir-raw,ActionCart,282,364,364,3,2,9,6,12,9,4,12,21,244
union,abi_return,mir-optimized,ActionCart,272,352,352,3,2,9,6,12,9,3,9,19,236
union,abi_return,classic,Standalone,523,1024,1024,3,2,9,6,12,9,n/a,n/a,21,501
union,abi_return,mir-raw,Standalone,282,364,364,3,2,9,6,12,9,4,12,21,244
union,abi_return,mir-optimized,Standalone,272,352,352,3,2,9,6,12,9,3,9,19,236
variant,fresh_call,classic,ActionCart,470,837,837,2,1,8,4,16,12,n/a,n/a,28,446
variant,fresh_call,mir-raw,ActionCart,378,439,439,2,1,8,4,16,12,3,12,25,335
variant,fresh_call,mir-optimized,ActionCart,350,409,409,2,1,8,4,16,12,2,8,21,311
variant,fresh_call,classic,Standalone,492,837,837,2,1,8,4,16,12,n/a,n/a,29,467
variant,fresh_call,mir-raw,Standalone,396,439,439,2,1,8,4,16,12,3,12,26,352
variant,fresh_call,mir-optimized,Standalone,368,409,409,2,1,8,4,16,12,2,8,22,328
variant,capture_chain,classic,ActionCart,656,1253,1253,4,1,16,4,20,8,n/a,n/a,34,632
variant,capture_chain,mir-raw,ActionCart,452,521,521,4,1,16,4,20,8,5,20,29,405
variant,capture_chain,mir-optimized,ActionCart,368,427,427,4,1,16,4,20,8,2,8,17,333
variant,capture_chain,classic,Standalone,678,1253,1253,4,1,16,4,20,8,n/a,n/a,35,653
variant,capture_chain,mir-raw,Standalone,470,521,521,4,1,16,4,20,8,5,20,30,422
variant,capture_chain,mir-optimized,Standalone,386,427,427,4,1,16,4,20,8,2,8,18,350
variant,snapshot_mutation,classic,ActionCart,820,1744,1744,5,3,20,12,24,16,n/a,n/a,44,796
variant,snapshot_mutation,mir-raw,ActionCart,579,795,795,5,3,20,12,24,16,6,24,37,524
variant,snapshot_mutation,mir-optimized,ActionCart,519,727,727,5,3,20,12,24,16,4,16,29,472
variant,snapshot_mutation,classic,Standalone,842,1744,1744,5,3,20,12,24,16,n/a,n/a,45,817
variant,snapshot_mutation,mir-raw,Standalone,597,795,795,5,3,20,12,24,16,6,24,38,541
variant,snapshot_mutation,mir-optimized,Standalone,537,727,727,5,3,20,12,24,16,4,16,30,489
variant,ordered_arguments,classic,ActionCart,1178,2757,2757,7,5,28,20,36,28,n/a,n/a,70,1154
variant,ordered_arguments,mir-raw,ActionCart,851,1326,1326,7,5,28,20,36,28,10,40,61,772
variant,ordered_arguments,mir-optimized,ActionCart,790,1257,1257,7,5,28,20,36,28,8,32,53,719
variant,ordered_arguments,classic,Standalone,1263,2757,2757,7,5,28,20,36,28,n/a,n/a,71,1239
variant,ordered_arguments,mir-raw,Standalone,951,1326,1326,7,5,28,20,36,28,10,40,63,870
variant,ordered_arguments,mir-optimized,Standalone,890,1257,1257,7,5,28,20,36,28,8,32,55,817
variant,abi_arguments,classic,ActionCart,1224,2936,2936,7,4,28,16,40,28,n/a,n/a,78,1200
